karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
0,55670.0,7,0,49,2,4,0,0,50,0,0,1,1,0,9336,1539,7,5,2091,20,79,24,0,0,2,2,5,49,55,62,85,5,11,1,21,41,50,0
10,34240.0,33,0,81,50,3,0,0,12,0,0,5,2,0,6869,1197,33,34,12165,164,52,13,5,2,1,6,58,81,116,118,105,104,42,16,12,30,12,0
0,125452,45,0,87,26,4,2,0,14,0,0,8,7,3,8014,1494,45,40,63957,197,156,25,3,1,2,2,55,72,124,127,109,108,74,18,19,31,14,0
10,113337.0,0,0,5,0,3,1,0,3,0,0,0,1,0,3906,422,0,13,665,54,34,21,0,0,0,2,25,4,38,38,26,31,26,6,1,4,3,0
0,15709,19,0,28,3,2,0,0,4,0,0,2,2,0,3096,592,19,21,692,94,40,6,2,0,1,0,29,30,71,71,48,67,20,13,6,11,4,0
200,147692,137,0,320,84,10,12,0,37,0,0,26,6,34,38479,6944,136,164,11722,1314,399,118,7,2,0,6,413,188,523,551,391,486,824,63,43,148,37,0
1190,827155,472,0,730,845,16,16,0,121,0,0,115,38,48,67441,13397,469,283,90258,1390,1158,220,53,10,14,39,306,730,444,444,1203,323,852,116,220,544,121,0
742215,2021240.0,17,0,30,22,3,0,0,2,0,0,4,0,0,4142,630,17,21,2090,96,20,29,6,0,2,3,21,18,23,23,48,21,62,8,4,21,2,0
175,385682,48,0,157,157,10,6,0,31,0,0,7,49,18,40867,6712,48,138,8295,397,1749,734,8,4,2,23,148,157,179,179,661,148,232,52,54,314,31,0
46895,248016.0,26,0,126,112,12,5,0,55,0,0,5,14,9,48079,3040,26,182,27844,554,448,158,11,5,2,9,257,84,337,346,411,267,276,71,21,126,55,0
7436681,25425975.0,1704,6,3893,19546,449,555,0,453,0,0,232,1459,1623,2180561,106960,1685,5991,251875,8085,47731,15724,95,40,55,203,6361,2033,7771,12286,12175,7282,1992,712,536,4548,451,0
14510,703168,259,0,455,412,12,12,0,88,0,0,72,40,36,47060,7559,259,140,30569,932,1149,226,23,4,13,21,129,455,223,225,811,135,476,47,147,339,88,0
230,534033.0,282,0,513,351,14,4,0,51,0,0,70,11,9,61815,10462,281,345,121818,1861,567,199,29,10,10,26,343,349,407,408,764,356,1134,101,132,319,51,0
10460,668135.0,40,0,139,77,40,36,0,62,0,0,3,28,103,191587,8927,40,299,197574,815,973,1157,37,15,3,14,309,81,397,1228,276,321,479,157,26,90,62,0
105,239588,32,0,128,183,11,7,0,66,0,0,2,21,18,44756,4554,32,182,16757,782,744,568,28,7,0,15,208,97,271,271,327,204,372,61,32,136,66,0
29690,303861.0,164,0,401,112,10,0,0,49,0,0,38,12,0,40190,6358,164,155,67009,510,615,157,5,3,8,15,169,207,239,241,332,190,269,60,65,127,49,0
46173,5151432.0,1769,7,4287,1774,108,122,0,543,0,0,516,65,366,516643,35525,1767,892,417519,3986,2640,2244,147,40,73,169,762,2607,1272,1287,3767,729,1766,235,990,1713,543,0
0,9755,0,0,2,7,3,3,0,6,0,0,0,2,6,4349,241,0,10,1164,26,55,23,0,0,0,0,11,2,14,14,12,8,12,5,1,6,6,0
3980,1672443.0,351,0,806,1280,43,48,0,84,0,0,46,93,144,203422,23957,351,1017,132421,3001,3082,911,60,13,12,51,1054,524,1154,1170,1757,1070,1779,387,155,703,83,0
285,364547.0,11,0,63,89,10,2,0,14,0,0,0,23,2,40770,3262,11,176,20108,502,721,464,7,3,0,3,185,33,222,223,302,201,264,61,9,91,14,0
45555,580624.0,190,0,412,198,15,4,0,33,0,0,27,30,9,66794,10906,190,466,21634,1898,1123,388,25,11,8,23,488,211,612,626,877,578,1306,122,73,342,33,0
525,413592.0,16,0,89,252,9,4,0,33,0,0,2,46,12,36767,2686,16,122,10777,290,1518,330,3,4,1,4,129,51,158,162,252,124,175,42,13,81,33,0
1410,435220.0,3,0,55,61,9,14,0,13,0,0,0,25,36,36522,1959,3,85,19833,176,495,149,2,2,2,3,87,29,110,159,145,88,94,18,11,65,13,0
1209330,1921172.0,465,0,1748,475,71,78,0,318,0,0,62,149,222,346417,24675,465,1164,105071,5211,5110,2882,105,26,29,55,1196,882,1706,1875,2821,1315,3019,473,308,1374,317,0
0,7265.0,5,0,16,0,1,0,0,0,0,0,1,1,0,1219,31,5,3,5172,41,13,0,1,0,1,0,11,8,13,13,5,13,28,1,2,2,0,0
15,30693,37,0,116,8,2,0,0,3,0,0,9,0,0,1990,301,37,3,672,16,8,0,0,0,3,0,4,62,17,17,36,14,3,2,10,16,3,0
55630,976434.0,77,0,221,138,18,23,0,88,0,0,11,32,69,74386,7103,77,343,19548,780,1102,418,24,14,8,18,351,127,437,496,466,341,424,129,52,218,88,0
110915,816144.0,186,0,752,294,16,17,0,94,0,0,38,30,51,69137,7564,186,152,101082,1208,1093,400,33,5,10,53,554,437,736,736,921,622,277,40,120,353,94,0
1768355,7877173.0,2768,3,8976,3229,138,84,126,1281,0,0,604,359,249,667636,92426,2764,2135,746210,13360,11867,6048,456,84,164,420,2884,5070,4572,4576,8828,3268,5847,697,1645,3677,1280,0
720535,3268742.0,592,0,2366,565,57,57,0,420,0,0,126,38,171,273972,23183,591,466,315644,2599,1854,734,110,6,45,84,490,1245,916,994,1422,494,1220,138,373,541,419,0
20,365363,115,13,234,295,9,0,0,30,0,0,23,50,0,33819,3839,112,99,26511,303,1745,903,7,2,3,7,95,129,131,131,358,101,141,14,29,129,30,0
7802267,36269046.0,4974,30,13191,4661,424,462,107,1684,0,0,1074,509,1385,2056304,174012,4950,5613,466423,23342,19813,11862,676,219,153,440,5267,6755,6993,7673,14088,5211,12617,2048,2481,6846,1679,0
5571155,11654242.0,363,12,1544,950,93,114,189,321,0,0,44,49,335,452762,35629,363,1704,183597,5405,2572,1657,171,49,27,111,1719,834,2034,2289,3032,1708,3156,644,288,1230,321,0
15265760,60411995.0,6584,30,17851,7081,457,489,607,2125,0,0,1166,780,1465,2224200,176376,6528,4014,264932,18702,30386,12618,481,136,232,523,3450,9370,5733,6630,15419,3531,11458,1374,3517,8275,2118,0
9290,816692.0,263,0,1128,478,18,18,0,107,0,0,71,27,48,81224,8684,263,185,38498,1030,1077,825,30,8,16,62,170,591,276,277,1673,169,474,62,226,708,107,0
13916735,9183519.0,45,0,120,456,49,36,0,118,0,0,1,48,98,234733,6672,45,614,52229,1798,1322,1390,46,15,2,18,625,64,805,1346,501,649,1061,255,32,255,118,0
38165,11553719.0,1472,11,6703,3478,190,180,0,1174,0,0,309,401,533,928271,79430,1472,1940,1088752,9611,13533,5686,339,47,121,374,1806,3942,2959,3089,7058,1779,4978,640,1314,2859,1174,0
94640,18079304.0,1418,5,3338,1054,99,2,0,238,0,0,301,236,0,481505,61673,1411,2231,254291,8406,8105,3000,148,25,41,141,2246,1808,2688,2732,5572,2381,5030,843,586,2504,236,0
0,3914,0,0,4,0,2,0,0,2,0,0,0,0,0,2034,74,0,6,566,17,4,4,0,0,0,0,5,2,9,9,20,7,8,0,0,7,2,0
360,17637.0,6,0,22,4,3,0,0,4,0,0,1,0,0,1859,196,6,6,292,24,14,4,0,0,0,2,9,12,15,15,11,11,10,5,3,4,4,0
32880,500742.0,67,1,138,36,5,3,0,16,0,0,15,4,8,14231,2730,67,47,15390,239,199,67,2,0,0,7,53,85,77,77,131,61,145,20,23,55,16,0
0,47,0,0,4,0,1,0,0,0,0,0,0,0,0,700,56,0,5,36,8,7,6,0,0,0,0,13,2,13,13,0,12,0,2,0,0,0,0
85,677944.0,6,0,56,413,26,36,66,34,0,0,0,34,108,120547,4980,6,368,51728,1037,1255,381,33,17,0,9,378,34,406,612,229,371,648,148,18,135,34,0
0,15836,13,0,75,1,1,0,0,2,0,0,4,0,0,1150,231,13,8,5312,7,17,7,0,0,1,0,13,40,16,16,11,13,0,3,8,1,2,0
13576,597207.0,119,8,330,249,9,13,0,25,0,0,28,11,38,34762,4175,119,108,22490,477,429,205,8,7,8,10,125,176,161,183,290,136,260,34,68,138,25,0
1085,89216,44,2,136,8,4,0,0,9,0,0,10,1,0,9250,528,44,137,7089,687,68,16,0,0,0,3,561,72,698,698,50,646,7,1,16,9,9,0
63195,2260352,154,0,286,174,10,6,0,33,0,0,42,29,18,40110,5808,154,107,31444,600,848,327,10,1,4,10,121,174,164,211,287,131,294,33,66,110,33,0
34535,4176399.0,139,0,389,56,13,14,0,47,0,0,9,10,42,52905,3283,134,51,56399,192,631,571,3,0,6,6,36,195,80,127,288,35,114,13,56,101,45,0
4820160,17229701.0,132,0,476,74,8,20,0,48,0,0,17,3,59,29183,2908,131,52,75954,214,235,56,1,2,3,6,54,252,103,104,194,55,120,8,67,64,48,0
3712600,27555419.0,5339,7,12908,3942,245,190,15837,1536,0,0,911,466,562,1189182,104502,5303,2053,1323488,8774,21114,4581,294,31,264,610,1733,7697,3296,3354,10885,1766,4213,535,1908,3599,1529,0
13692145,49446001.0,216,1,376,173,17,3,0,45,0,0,31,9,9,76779,4148,215,157,109825,375,505,497,3,4,3,13,151,234,199,203,454,154,202,34,69,149,45,0
1616606,16704637.0,681,0,1514,96,30,47,0,170,0,0,121,87,138,139101,16495,663,318,191668,1044,3757,2501,44,14,22,28,240,759,434,439,1670,258,623,100,194,525,170,0
189560,2222385.0,165,0,799,242,24,28,126,137,0,0,36,75,81,111440,8052,165,191,99422,1085,2105,881,29,4,18,50,190,502,334,334,1386,193,495,60,141,509,137,0
27574120,121129727.0,3698,6,10069,1028,262,250,1725,1285,0,0,839,448,741,1274156,109733,3645,2353,2243426,10924,14577,7658,260,50,127,283,2062,5549,3409,3536,8785,2064,6796,994,1799,4108,1277,0
3266245,17980795.0,543,1,1749,248,35,44,0,106,0,0,80,32,131,162000,15205,542,444,107203,1729,2014,710,60,15,15,84,424,906,549,556,1815,441,902,162,332,826,106,0
11377700,50472997.0,332,0,817,830,20,3,0,87,0,0,33,22,6,89802,5740,326,71,659944,295,1721,956,6,3,13,25,40,417,130,138,525,42,177,18,146,216,87,0
0,79568,11,0,81,0,1,0,0,4,0,0,4,0,0,1050,164,11,1,10310,4,0,0,0,0,0,0,0,43,4,4,2,0,2,0,10,1,4,0
34000,820389.0,88,0,158,68,7,1,0,17,0,0,17,12,0,24990,1212,86,26,22245,36,401,219,0,0,0,2,16,87,34,34,210,17,15,7,14,27,17,0
8454480,236350330.0,44,0,207,45,9,8,0,30,0,0,11,12,24,35136,1498,37,39,88817,130,231,119,3,1,2,3,38,42,51,107,157,39,87,20,14,56,12,0
31550,7723649.0,853,0,2614,3718,64,8,124,369,0,0,152,222,24,307820,47348,852,1115,406781,4226,7303,2953,118,34,63,242,1074,1960,1457,1503,4953,1083,2221,377,621,1994,369,0
13633920,35090429.0,7058,4,27825,9616,526,445,0,4491,0,0,1121,982,1291,2552363,232503,7010,4176,3246987,29589,39651,15065,975,117,455,881,3603,14506,8073,8843,21672,3553,14533,1289,4610,8887,4482,0
22575360,122891433.0,272,0,946,49,28,60,0,189,0,0,26,15,172,128085,7154,271,104,301064,484,1261,657,15,0,4,14,68,462,239,298,727,59,288,36,111,266,176,0
7889705,40778235.0,2597,7,8045,4975,322,300,675,1336,0,0,677,605,858,1562557,114978,2574,2443,158441,12125,16609,8147,380,63,172,453,2272,5226,3626,3976,9704,2270,6647,954,1885,4477,1329,0
61205,2142935.0,108,0,326,84,9,10,0,26,0,0,21,7,30,32485,3151,108,66,40122,282,268,107,6,1,3,17,64,172,96,97,361,69,125,21,58,145,26,0
7118300,89214868.0,159,0,470,45,10,31,0,42,0,0,19,2,93,41101,2832,159,79,68552,139,431,326,2,4,4,9,71,255,112,113,374,69,58,18,75,106,42,0
4063705,32914506.0,1226,16,2083,700,54,110,395,267,0,0,288,129,330,259979,17611,1221,457,473040,1799,4231,2435,46,12,34,58,360,1335,690,698,1715,424,1036,133,389,665,266,0
23752295,58186541.0,3259,10,18651,2860,294,173,19041,5229,0,0,582,187,519,1433614,92320,3258,620,783069,11097,8202,2822,421,21,323,620,361,10374,5542,5715,10428,290,4507,118,2862,4819,5228,0
1090,651882,0,0,0,0,1,0,0,0,0,0,0,0,0,525,5,0,0,13005,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1065,432772.0,46,0,170,257,5,0,0,28,0,0,13,9,0,13754,1405,46,37,6698,130,283,97,4,2,0,5,37,115,62,62,227,33,63,15,32,97,28,0
4990500,27228200.0,3080,0,7102,1141,83,80,0,832,0,0,593,166,228,403164,52508,3068,1024,650652,4352,7749,1513,142,31,101,180,774,3675,1662,1672,5021,813,2393,309,1123,1967,831,0
35584970,56587957.0,1176,0,2683,560,104,147,0,374,0,0,133,161,391,498893,34593,1162,1528,275227,6441,8172,4226,138,44,37,130,1540,1593,1992,2077,5065,1597,3314,586,480,2132,368,0
195707,6945533.0,640,1,1870,778,51,55,225,260,0,0,127,68,163,246014,23138,635,655,59283,2909,1960,630,108,24,38,142,656,1139,942,1051,2623,673,1424,187,367,1066,260,0
937205,3384298.0,606,22,2476,2006,68,91,0,429,0,0,120,105,267,328638,28084,606,840,86614,3447,3486,2163,101,19,35,131,806,1284,1277,1543,2722,845,1799,317,371,1100,429,0
602285,8642515.0,237,0,679,132,12,25,0,57,0,0,56,29,75,48627,5621,237,129,46770,514,862,534,12,3,10,18,118,399,176,176,591,119,304,45,117,255,57,0
75070,3940904,1166,9,4209,2608,58,34,0,563,0,0,209,116,100,277030,28423,1164,227,271373,3188,5591,1883,135,9,68,124,161,2297,703,717,2841,139,1700,75,804,1351,563,0
2183660,24014452.0,1749,0,3445,913,99,112,25,540,0,0,312,113,323,485494,48870,1705,1504,128697,7918,8011,4039,205,27,64,158,1408,2390,2142,2158,5548,1577,3948,485,702,2303,540,0
5049180,20310698.0,92,0,330,248,15,32,0,63,0,0,15,25,87,64254,3716,92,116,2895,403,902,392,16,6,1,22,105,224,170,170,481,107,212,29,55,197,63,0
6835730,36319065.0,254,0,962,269,27,1,0,197,0,0,46,98,1,123613,12637,254,378,262426,1574,2736,985,32,14,8,36,354,515,551,613,1365,347,1025,167,136,530,197,0
17938045,34137568.0,271,0,1680,987,46,39,0,293,0,0,44,161,116,220446,18308,268,480,122239,2350,4765,2571,50,12,24,69,460,866,778,873,2508,477,1401,139,195,827,292,0
620590,3092009.0,32,0,106,8,4,3,0,11,0,0,1,2,8,7499,1182,32,32,5608,118,130,58,1,2,0,2,30,57,45,45,109,30,74,13,13,39,11,0
31932470,150951547.0,3616,1,12999,1278,211,250,0,1266,0,0,550,101,750,1020851,52144,3612,928,715143,5080,6548,12589,95,21,153,231,522,6547,1774,2353,6073,501,2579,241,1981,2347,1256,0
15,263625,12,0,29,12,2,0,0,2,0,0,3,3,0,3125,348,12,7,5694,21,63,99,0,0,0,1,7,15,10,12,39,8,12,3,5,6,2,0
738105,4371312.0,981,1,2652,881,59,88,275,261,0,0,205,178,243,284141,44465,979,1425,250455,3685,5417,2341,129,68,42,192,1412,1408,1783,1816,3237,1520,1944,496,454,1252,261,0
17126305,158889767.0,4226,12,17750,2421,314,335,126,2240,0,0,468,423,1001,1518352,118308,4215,1999,821918,15108,24677,12930,427,59,211,490,1626,9228,3752,4194,11606,1496,8688,649,2797,4954,2210,0
243975,3282664.0,393,0,694,78,41,24,0,191,0,0,29,44,32,196793,15752,391,916,134524,3307,5726,5061,49,14,11,43,877,575,1274,1281,1889,1072,1820,405,192,927,191,0
81815,1530590.0,754,17,2521,880,44,2,0,611,0,0,149,81,0,209499,31960,740,596,170229,4394,3100,1088,230,25,68,191,707,1464,1494,1646,2749,879,1826,181,602,1470,604,0
9605,2371086.0,327,0,910,506,34,40,0,215,0,0,41,66,103,158543,16886,327,683,118861,3392,3669,2008,83,23,15,58,723,549,982,1035,1763,747,1911,282,216,925,215,0
4260,537796.0,121,0,468,99,16,12,0,69,0,0,25,52,36,67536,4502,121,230,54082,35666,1597,573,12,2,8,17,26270,241,33902,33922,617,32866,292,73,114,327,69,0
10895110,12370091.0,333,0,920,303,31,38,0,125,0,0,65,143,114,144619,16880,333,704,222014,2279,4436,2163,57,12,14,60,696,464,853,878,1888,712,1334,267,146,778,125,0
2200480,30092677.0,1165,3,5093,1778,76,85,0,744,0,0,222,104,238,371787,46778,1156,1009,99996,5332,5653,3160,143,20,65,197,884,2648,1641,1703,5763,884,2913,429,829,2493,724,0
5330,997132.0,98,0,338,65,11,14,0,45,0,0,15,32,30,44868,4277,98,106,6621,346,1280,1149,7,4,1,12,103,186,147,159,573,100,203,49,54,214,45,0
79605,4344457.0,1441,4,3006,2232,97,98,0,506,0,0,277,410,282,475317,50882,1440,2322,367013,8696,12417,6162,117,36,24,110,2255,1537,2828,2865,4873,2268,5233,947,474,1889,506,0
0,44519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3235,2803208.0,129,0,378,461,21,0,0,58,0,0,14,100,0,95798,9915,129,491,83003,1479,3205,1475,32,4,3,26,491,196,565,587,728,508,922,191,60,304,57,0
142413,5470002.0,126,1,566,370,26,42,0,85,0,0,13,45,125,117813,9431,126,421,13361,1389,1427,718,26,12,10,41,539,286,663,724,1119,564,684,138,77,430,85,0
75,3200103.0,49,0,140,133,12,1,0,30,0,0,8,37,0,47013,4302,48,171,30087,444,1016,574,11,2,1,19,179,72,215,216,448,171,228,62,30,208,30,0
16715,3575167.0,53,0,239,206,9,12,0,36,0,0,9,24,30,34443,3414,53,108,19453,405,1171,484,13,5,6,16,104,128,150,150,540,111,221,34,43,235,36,0
21838304,84456860.0,2219,0,9188,1847,174,56,0,1417,0,0,356,122,163,847599,54214,2211,1369,859743,9431,5864,1427,313,32,138,292,1247,5398,2671,2685,7911,1199,4808,506,1525,3280,1413,0
50,2447.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1410,20,0,1,5475,2,0,0,0,0,0,0,2,0,2,2,0,2,1,0,0,0,0,0
178675,848458.0,225,2,1056,337,19,8,0,118,0,0,47,39,15,80227,10215,225,257,52417,1572,1079,588,43,11,11,55,406,533,613,640,1298,481,648,76,173,496,118,0
116266,3044248.0,318,0,548,69,19,19,0,159,0,0,14,5,29,83612,9829,316,421,53565,2618,769,1159,71,16,10,52,408,502,654,655,1789,486,1795,186,235,1103,159,0
3905,843496.0,53,0,298,713,33,1,0,83,0,0,2,121,0,154854,11231,53,893,78980,2641,3865,1714,43,16,10,26,900,153,1030,1035,849,867,1521,378,53,342,83,0
8480,1287113.0,239,0,504,218,14,15,0,31,0,0,52,22,42,58048,9782,238,299,10384,1128,889,358,18,11,4,12,330,270,392,422,641,361,695,100,95,273,31,0
2538015,26392231.0,1692,2,1704,2281,216,161,9221,229,0,0,261,451,459,1043482,61472,1678,3610,924241,8357,14125,8462,176,70,38,90,3651,1456,3880,4498,2912,3653,5562,1693,577,1408,225,0
86125,4895570,19,0,126,14,3,0,0,12,0,0,3,4,0,6124,695,19,10,35732,72,144,43,6,0,4,9,8,69,20,21,112,8,32,3,14,31,12,0
222380,1427738.0,583,0,1304,258,18,21,0,129,0,0,146,50,61,77367,12482,583,368,48339,1787,1762,313,29,5,17,31,366,663,574,576,1058,428,1053,136,182,426,129,0
5244645,24852876.0,826,0,2976,2182,114,140,0,350,0,0,133,185,419,545939,19841,823,735,413490,4626,6425,3327,111,13,40,128,696,1538,1059,1518,4121,706,2227,231,599,2061,349,0
79145,24113118.0,913,6,2060,224,32,17,0,308,0,0,155,27,34,148939,17927,908,499,191914,2046,3335,2946,42,11,37,64,416,1344,785,805,2106,477,1166,192,468,964,306,0
112985,2860073.0,108,0,544,372,43,51,0,168,0,0,7,119,139,204549,13854,104,485,201328,1475,7384,3287,26,9,4,44,474,394,696,700,2345,506,835,230,161,1217,168,0
4222560,21166480.0,2638,4,8284,2261,161,22,25,1056,0,0,495,91,28,780301.0,55674,2594,2078,915024,12309,7664,5124,305,53,114,352,1903,4878,2991,3179,10972,1899,7435,809,1890,5782,1034,0
1000,108690,0,0,0,0,1,0,0,0,0,0,0,0,0,1075,0,0,0,130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
10775055,46320149.0,7464,4,16724,3679,277,115,0,2281,0,0,874,522,335,1349067,116528,7397,1653,1881841,12426,30697,10205,384,40,229,383,1073,8564,3397,3446,8660,1108,7338,424,2359,3375,2278,0
